workload,workload_type,workload_size,description,algorithm,frames,ms/op,ms/op_error,gc.alloc.rate.norm (B/op),gc.alloc.rate.norm_error (B/op)
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Random,64,4.358550833183374,0.08352243196680247,5052662.223005479,0.5444500830745175
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Random,128,3.6688651102443286,0.03722106577775693,4097433.453499281,0.30987700879348073
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Clock,2,2.6141315657657556,0.022507156481264633,3768154.1384538887,0.20222566480725976
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Clock,4,3.8271896851514446,0.0391198590435557,3687714.453832888,0.29228867232480754
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Clock,8,4.8439946942791945,0.05490046782180906,3531161.470750372,0.4703662472796631
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Clock,16,4.619213595132641,0.11729987407532252,3225791.9793821606,0.8493456080401831
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Clock,32,3.736064077812965,0.0701010867558497,2670953.8948544743,0.532025507017979
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Clock,64,2.9036320036265613,0.02421421794154412,1818484.1315476228,0.18111538856369122
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Clock,128,1.7252682992678943,0.07159600717538181,979475.9546132765,0.48677417982687926
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",FIFO,2,0.3785711195384827,0.006139487430376949,26.602959196654478,0.0423468380619329
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",FIFO,4,0.3897968970222399,0.00425747713923336,34.67758911965244,0.030339560586883755
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",FIFO,8,0.48445394411468856,0.020641021026512215,51.327756860065925,0.1369238926442731
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",FIFO,16,0.7585101026572629,0.0008657487115697475,85.21407274566607,0.019271313933900032
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",FIFO,32,1.189045470622654,0.008287624666795668,152.1770301111375,0.08686252382545472
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",FIFO,64,1.8776748853705023,0.014578272847504493,284.9005690134019,0.12732692151402664
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",FIFO,128,2.6659139268407133,0.08635269978880744,546.293696550876,0.5713580401191621
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LFU,2,7.810896008270783,0.10052967563837865,9929777.892078727,32.265344187932115
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LFU,4,9.87348224166986,0.21206085047560727,9759148.03211007,1.4953991538756983
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LFU,8,14.04999956741337,0.19383480226659505,9420200.76818243,1.5220182567763456
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LFU,16,18.329675577275225,2.0678808325300753,8737322.106705524,45.64870925514918
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LFU,32,21.03605662895408,0.2006613235013127,7387992.039455782,1.726134202792369
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LFU,64,19.246224569013062,0.22580940242794253,10853931.411320757,2.053582141427324
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LFU,128,25.015058564756096,0.3509507650200553,13703451.088780487,3.5461003704649725
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LRU,2,3.0967071421158274,0.19332395620784193,4434337.480665618,33.148319875606354
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LRU,4,3.467373460796928,0.023244873951000552,4435112.039217039,0.20863999902910682
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LRU,8,4.3769841264802105,0.1946975277984463,4437014.209881918,1.3525881155624073
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LRU,16,4.29488810865157,0.19469066513948652,4440913.722712709,20.463832050544717
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LRU,32,3.816847175341298,0.027765565888385007,4449610.417463394,0.273434903398297
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LRU,64,3.469255331417483,0.07268385314635731,4474719.987825779,0.5443554669740884
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",LRU,128,3.3391628141687306,0.047040477103095446,4989543.06590451,0.3135457735752222
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Otimo,2,4.300221783172125,0.03915330485689818,3769837.763587092,0.37166759068170924
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Otimo,4,5.035670303493238,0.03797080902742561,3720050.861823267,0.2986991477934809
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Otimo,8,9.233675582072687,0.13088881648774214,7042063.505163746,0.8519593791990167
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Otimo,16,13.531871073466657,0.32433836575977815,10811884.881414939,1.9843383299457342
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Otimo,32,23.072854231684286,0.40961478903492393,19073709.694038056,3.4824932181812267
locality_lg_medium_hot70,locality,lg,"Localidade moderada (70% hot) | Grande (100k refs, 200 pags, WS=20%)",Otimo,64,43.527500100000005,1.1756518953466795,8627862.660869565,9.369060683736498
