workload,workload_type,workload_size,description,algorithm,frames,page_faults,total_accesses,fault_rate_pct
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,128,100,2000,5.0000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,2,1964,2000,98.2000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,4,1937,2000,96.8500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,8,1850,2000,92.5000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,16,1668,2000,83.4000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,32,1327,2000,66.3500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,64,747,2000,37.3500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,128,100,2000,5.0000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,2,1962,2000,98.1000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,4,1915,2000,95.7500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,8,1839,2000,91.9500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,16,1662,2000,83.1000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,32,1353,2000,67.6500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,64,733,2000,36.6500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,128,100,2000,5.0000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,2,1972,2000,98.6000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,4,1918,2000,95.9000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,8,1847,2000,92.3500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,16,1677,2000,83.8500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,32,1337,2000,66.8500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,64,739,2000,36.9500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,128,100,2000,5.0000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,2,1817,2000,90.8500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,4,1622,2000,81.1000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,8,1380,2000,69.0000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,16,1076,2000,53.8000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,32,706,2000,35.3000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,64,300,2000,15.0000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,128,100,2000,5.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,2,1781,2000,89.0500
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,4,1572,2000,78.6000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,8,1160,2000,58.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,16,393,2000,19.6500
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,32,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,64,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,128,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,2,1780,2000,89.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,4,1575,2000,78.7500
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,8,1153,2000,57.6500
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,16,398,2000,19.9000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,32,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,64,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,128,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,2,1776,2000,88.8000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,4,1594,2000,79.7000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,8,1203,2000,60.1500
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,16,434,2000,21.7000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,32,20,2000,1.0000
