workload,workload_type,workload_size,workload_spread,workload_extra,description,algorithm,frames,page_faults,total_accesses,fault_rate_pct
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,16,1696,2000,84.8
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,32,1334,2000,66.7
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,4,1629,2000,81.45
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,8,1395,2000,69.75
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,16,1092,2000,54.6
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,32,724,2000,36.2
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,4,1598,2000,79.9
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,8,1192,2000,59.6
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,16,413,2000,20.65
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,32,20,2000,1.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,4,1600,2000,80.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,8,1185,2000,59.25
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,16,421,2000,21.05
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,32,20,2000,1.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,4,1607,2000,80.35
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,8,1218,2000,60.9
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,16,443,2000,22.15
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,32,20,2000,1.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,4,1593,2000,79.65
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,8,1202,2000,60.1
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,16,403,2000,20.15
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,32,20,2000,1.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,4,1597,2000,79.85
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,8,1193,2000,59.65
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,16,390,2000,19.5
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,32,20,2000,1.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,4,1117,2000,55.85
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,8,654,2000,32.7
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,16,156,2000,7.8
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,32,20,2000,1.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,4,1986,2000,99.3
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,8,1969,2000,98.45
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,16,1930,2000,96.5
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,32,1875,2000,93.75
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,4,1986,2000,99.3
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,8,1969,2000,98.45
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,16,1934,2000,96.7
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,32,1872,2000,93.6
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,4,1991,2000,99.55
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,8,1975,2000,98.75
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,16,1944,2000,97.2
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,32,1870,2000,93.5
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,4,1986,2000,99.3
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,8,1969,2000,98.45
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,16,1931,2000,96.55
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,32,1871,2000,93.55
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,4,1987,2000,99.35
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,8,1966,2000,98.3
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,16,1950,2000,97.5
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,32,1869,2000,93.45
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,4,1837,2000,91.85
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,8,1726,2000,86.3
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,16,1576,2000,78.8
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,32,1395,2000,69.75
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,4,9983,10000,99.83
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,8,9969,10000,99.69
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,16,9932,10000,99.32
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,32,9844,10000,98.44
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LRU,4,9983,10000,99.83
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LRU,8,9969,10000,99.69
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LRU,16,9932,10000,99.32
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LRU,32,9841,10000,98.41
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LFU,4,9984,10000,99.84
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LFU,8,9960,10000,99.6
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LFU,16,9921,10000,99.21
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LFU,32,9841,10000,98.41
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Clock,4,9983,10000,99.83
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Clock,8,9969,10000,99.69
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Clock,16,9932,10000,99.32
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Clock,32,9843,10000,98.43
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Random,4,9981,10000,99.81
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Random,8,9964,10000,99.64
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Random,16,9922,10000,99.22
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Random,32,9834,10000,98.34
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Otimo,4,9600,10000,96.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Otimo,8,9319,10000,93.19
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Otimo,16,8952,10000,89.52
aleatorio_medio_enorme,aleatorio,medio,enorme,,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",Otimo,32,8443,10000,84.43
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",FIFO,4,9637,10000,96.37
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",FIFO,8,9234,10000,92.34
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",FIFO,16,8427,10000,84.27
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",FIFO,32,6858,10000,68.58
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",LRU,4,9636,10000,96.36
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",LRU,8,9237,10000,92.37
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",LRU,16,8403,10000,84.03
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",LRU,32,6835,10000,68.35
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",LFU,4,9605,10000,96.05
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",LFU,8,9179,10000,91.79
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",LFU,16,8361,10000,83.61
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",LFU,32,6758,10000,67.58
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Clock,4,9637,10000,96.37
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Clock,8,9236,10000,92.36
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Clock,16,8400,10000,84.0
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Clock,32,6857,10000,68.57
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Random,4,9636,10000,96.36
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Random,8,9218,10000,92.18
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Random,16,8431,10000,84.31
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Random,32,6876,10000,68.76
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Otimo,4,8139,10000,81.39
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Otimo,8,6936,10000,69.36
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Otimo,16,5427,10000,54.27
aleatorio_medio_medio,aleatorio,medio,medio,,"Acesso aleatorio | Medio (10k refs, 100 pags)",Otimo,32,3532,10000,35.32
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",FIFO,4,8022,10000,80.22
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",FIFO,8,6027,10000,60.27
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",FIFO,16,1976,10000,19.76
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",FIFO,32,20,10000,0.2
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",LRU,4,8007,10000,80.07
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",LRU,8,6012,10000,60.12
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",LRU,16,2038,10000,20.38
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",LRU,32,20,10000,0.2
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",LFU,4,7971,10000,79.71
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",LFU,8,5884,10000,58.84
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",LFU,16,1945,10000,19.45
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",LFU,32,20,10000,0.2
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",Clock,4,8012,10000,80.12
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",Clock,8,6062,10000,60.62
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",Clock,16,2019,10000,20.19
aleatorio_medio_restrito,aleatorio,medio,restrito,,"Acesso aleatorio | Medio (10k refs, 20 pags)",Clock,32,20,10000,0.2
