workload,workload_type,workload_size,workload_spread,workload_extra,algorithm,frames,time_ms_op,time_error,gc_alloc_norm_KB_op,gc_alloc_norm_error_KB
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,Clock,8,2.402,0.089,1255.012,0.031
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,Clock,16,1.678,0.035,345.332,0.0
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,Clock,32,1.408,0.093,141.873,0.032
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,Clock,4,0.388,0.003,538.94,0.0
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,Clock,8,0.479,0.006,534.659,0.0
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,Clock,16,0.481,0.004,525.933,0.0
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,Clock,32,0.475,0.005,507.058,0.0
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,Clock,4,0.388,0.003,522.018,0.0
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,Clock,8,0.469,0.008,517.456,0.0
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,Clock,16,0.479,0.005,507.277,0.0
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,Clock,32,0.465,0.007,487.402,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,Clock,4,0.314,0.007,361.783,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,Clock,8,0.413,0.028,346.081,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,Clock,16,0.383,0.006,315.807,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,Clock,32,0.328,0.003,263.323,0.0
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,Clock,4,0.246,0.017,213.107,0.031
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,Clock,8,0.215,0.003,126.548,0.0
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,Clock,16,0.142,0.005,35.884,0.0
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,Clock,32,0.118,0.009,15.977,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,Clock,4,0.058,0.001,71.813,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,Clock,8,0.069,0.001,68.125,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,Clock,16,0.063,0.001,62.243,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,Clock,32,0.055,0.001,52.227,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,Clock,4,0.044,0.001,42.313,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,Clock,8,0.04,0.002,26.578,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,Clock,16,0.028,0.001,8.633,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,Clock,32,0.023,0.002,4.32,0.0
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,Clock,4,26.936,0.225,66125.335,0.003
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,Clock,8,27.355,1.235,66125.292,0.008
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,Clock,16,27.381,1.604,66125.348,0.011
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,Clock,32,26.829,0.321,66125.437,0.003
sequencial_grande_amplo,sequencial,grande,amplo,,Clock,4,2.824,0.071,6612.656,0.032
sequencial_grande_amplo,sequencial,grande,amplo,,Clock,8,3.109,0.464,6612.611,0.028
sequencial_grande_amplo,sequencial,grande,amplo,,Clock,16,2.882,0.113,6612.664,0.03
sequencial_grande_amplo,sequencial,grande,amplo,,Clock,32,2.716,0.121,6612.776,0.001
sequencial_grande_medio,sequencial,grande,medio,,Clock,4,2.408,0.109,3125.215,0.032
sequencial_grande_medio,sequencial,grande,medio,,Clock,8,2.469,0.312,3125.232,0.033
sequencial_grande_medio,sequencial,grande,medio,,Clock,16,2.161,0.026,3125.39,0.0
sequencial_grande_medio,sequencial,grande,medio,,Clock,32,2.376,0.177,3125.735,0.001
sequencial_medio_amplo,sequencial,medio,amplo,,Clock,4,0.23,0.004,661.408,0.0
sequencial_medio_amplo,sequencial,medio,amplo,,Clock,8,0.243,0.002,661.361,0.0
sequencial_medio_amplo,sequencial,medio,amplo,,Clock,16,0.241,0.003,661.416,0.0
sequencial_medio_amplo,sequencial,medio,amplo,,Clock,32,0.245,0.004,661.509,0.0
sequencial_medio_medio,sequencial,medio,medio,,Clock,4,0.202,0.005,312.72,0.0
sequencial_medio_medio,sequencial,medio,medio,,Clock,8,0.222,0.002,312.736,0.0
sequencial_medio_medio,sequencial,medio,medio,,Clock,16,0.224,0.006,312.896,0.031
sequencial_medio_medio,sequencial,medio,medio,,Clock,32,0.215,0.001,313.259,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,Clock,4,0.011,0.0,15.844,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,Clock,8,0.012,0.001,15.84,0.031
sequencial_minimo_restrito,sequencial,minimo,restrito,,Clock,16,0.011,0.0,16.039,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,Clock,32,0.005,0.001,1.117,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,Clock,4,0.043,0.003,62.719,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,Clock,8,0.046,0.001,62.735,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,Clock,16,0.047,0.006,62.895,0.031
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,Clock,32,0.028,0.001,1.078,0.0
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,FIFO,4,40.956,0.521,100427.505,0.001
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,FIFO,8,44.139,0.309,99690.482,0.001
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,FIFO,16,45.654,0.365,98256.976,0.01
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,FIFO,32,41.287,0.443,95372.624,0.006
aleatorio_grande_amplo,aleatorio,grande,amplo,,FIFO,4,4.068,0.019,10052.77,0.0
aleatorio_grande_amplo,aleatorio,grande,amplo,,FIFO,8,4.423,0.04,9976.546,0.0
aleatorio_grande_amplo,aleatorio,grande,amplo,,FIFO,16,4.556,0.03,9828.632,0.0
aleatorio_grande_amplo,aleatorio,grande,amplo,,FIFO,32,4.023,0.164,9544.012,0.063
aleatorio_grande_enorme,aleatorio,grande,enorme,,FIFO,4,3.777,0.238,11298.674,0.002
aleatorio_grande_enorme,aleatorio,grande,enorme,,FIFO,8,4.383,0.043,11280.631,0.0
aleatorio_grande_enorme,aleatorio,grande,enorme,,FIFO,16,4.407,0.062,11242.444,0.0
aleatorio_grande_enorme,aleatorio,grande,enorme,,FIFO,32,4.378,0.038,11160.123,0.0
aleatorio_grande_medio,aleatorio,grande,medio,,FIFO,4,2.819,0.286,5248.816,0.064
aleatorio_grande_medio,aleatorio,grande,medio,,FIFO,8,3.101,0.069,5033.857,0.0
aleatorio_grande_medio,aleatorio,grande,medio,,FIFO,16,3.093,0.261,4596.044,0.064
aleatorio_grande_medio,aleatorio,grande,medio,,FIFO,32,2.769,0.019,3717.464,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,FIFO,4,0.405,0.004,1001.003,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,FIFO,8,0.457,0.003,994.62,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,FIFO,16,0.436,0.028,980.901,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,FIFO,32,0.426,0.019,953.761,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,FIFO,4,0.388,0.004,1130.995,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,FIFO,8,0.446,0.01,1129.511,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,FIFO,16,0.441,0.005,1125.925,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,FIFO,32,0.442,0.007,1117.144,0.0
aleatorio_medio_medio,aleatorio,medio,medio,,FIFO,4,0.289,0.008,527.229,0.0
aleatorio_medio_medio,aleatorio,medio,medio,,FIFO,8,0.339,0.013,505.19,0.0
aleatorio_medio_medio,aleatorio,medio,medio,,FIFO,16,0.323,0.003,461.198,0.0
aleatorio_medio_medio,aleatorio,medio,medio,,FIFO,32,0.278,0.005,375.658,0.0
aleatorio_medio_restrito,aleatorio,medio,restrito,,FIFO,4,0.236,0.03,438.869,0.062
aleatorio_medio_restrito,aleatorio,medio,restrito,,FIFO,8,0.243,0.004,329.806,0.0
aleatorio_medio_restrito,aleatorio,medio,restrito,,FIFO,16,0.109,0.001,108.407,0.0
aleatorio_medio_restrito,aleatorio,medio,restrito,,FIFO,32,0.052,0.0,1.407,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,FIFO,4,0.015,0.0,26.672,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,FIFO,8,0.015,0.0,25.305,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,FIFO,16,0.014,0.001,23.094,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,FIFO,32,0.012,0.0,20.242,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,FIFO,4,0.012,0.0,21.586,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,FIFO,8,0.01,0.0,16.609,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,FIFO,16,0.005,0.0,5.758,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,FIFO,32,0.003,0.0,1.438,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,FIFO,4,0.081,0.001,200.407,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,FIFO,8,0.088,0.001,198.821,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,FIFO,16,0.089,0.001,195.422,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,FIFO,32,0.077,0.001,190.711,0.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,FIFO,4,0.06,0.0,105.368,0.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,FIFO,8,0.065,0.001,100.993,0.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,FIFO,16,0.061,0.001,93.204,0.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,FIFO,32,0.052,0.003,75.203,0.0
